,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,AAPL,Apple Inc,2021-07-28T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
1,AAPL,Apple Inc,2021-04-28T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
2,AAPL,Apple Inc,2021-01-26T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
3,AAPL,Apple Inc,2020-10-28T10:59:00.000Z,TNS,0.7,,,EDT,-14400000.0,EQUITY
4,AAPL,Apple Inc.,2020-07-30T00:00:00.000Z,TNS,0.51,0.65,26.22,EDT,0.0,EQUITY
5,AAPL,Apple Inc.,2020-04-30T00:00:00.000Z,TNS,0.56,0.64,12.92,EDT,0.0,EQUITY
6,AAPL,Apple Inc.,2020-01-28T00:00:00.000Z,TNS,1.14,1.25,9.76,EDT,0.0,EQUITY
7,AAPL,Apple Inc.,2019-10-30T00:00:00.000Z,TNS,0.71,0.76,6.76,EDT,0.0,EQUITY
8,AAPL,Apple Inc.,2019-07-30T00:00:00.000Z,TNS,0.53,0.55,3.81,EDT,0.0,EQUITY
9,AAPL,Apple Inc.,2019-04-30T00:00:00.000Z,TNS,0.59,0.62,4.24,EDT,0.0,EQUITY
10,AAPL,Apple Inc.,2019-01-29T00:00:00.000Z,TNS,1.04,1.05,0.29,EDT,0.0,EQUITY
11,AAPL,Apple Inc.,2018-11-01T00:00:00.000Z,TNS,0.7,0.73,4.6,EDT,0.0,EQUITY
12,AAPL,Apple Inc.,2018-07-31T00:00:00.000Z,TNS,2.18,2.34,7.29,EDT,0.0,EQUITY
13,AAPL,Apple Inc.,2018-05-01T00:00:00.000Z,TNS,2.67,2.73,2.13,EDT,0.0,EQUITY
14,AAPL,Apple Inc,2018-02-01T21:00:00.000Z,AMC,3.86,3.89,0.78,,,EQUITY
15,AAPL,Apple Inc.,2018-02-01T00:00:00.000Z,TNS,3.86,3.89,0.86,EDT,0.0,EQUITY
16,AAPL,Apple Inc,2017-11-02T20:00:00.000Z,AMC,1.87,2.07,10.7,,,EQUITY
17,AAPL,Apple Inc.,2017-11-02T00:00:00.000Z,TNS,1.87,2.07,10.87,EDT,0.0,EQUITY
18,AAPL,Apple Inc,2017-08-01T20:00:00.000Z,AMC,1.57,1.67,6.37,,,EQUITY
19,AAPL,Apple Inc.,2017-08-01T00:00:00.000Z,TNS,1.57,1.67,6.23,EDT,0.0,EQUITY
20,AAPL,Apple Inc,2017-05-02T20:00:00.000Z,AMC,2.02,2.1,3.96,,,EQUITY
21,AAPL,Apple Inc.,2017-05-02T00:00:00.000Z,TNS,2.02,2.1,3.96,EDT,0.0,EQUITY
22,AAPL,Apple Inc.,2017-01-31T00:00:00.000Z,TNS,3.21,3.36,4.54,EDT,0.0,EQUITY
23,AAPL,Apple Inc.,2016-10-25T00:00:00.000Z,TNS,1.66,1.67,0.85,EDT,0.0,EQUITY
24,AAPL,Apple Inc.,2016-07-26T00:00:00.000Z,TNS,1.38,1.42,2.6,EDT,0.0,EQUITY
25,AAPL,Apple Inc.,2016-04-26T00:00:00.000Z,TNS,2.0,1.9,-4.9,EDT,0.0,EQUITY
26,AAPL,Apple Inc.,2016-01-26T00:00:00.000Z,TNS,3.23,3.28,1.64,EDT,0.0,EQUITY
27,AAPL,Apple Inc.,2015-10-27T00:00:00.000Z,TNS,1.88,1.96,4.26,EDT,0.0,EQUITY
28,AAPL,Apple Inc.,2015-07-21T00:00:00.000Z,TNS,1.81,1.85,2.15,EDT,0.0,EQUITY
29,AAPL,Apple Inc.,2015-04-27T00:00:00.000Z,TNS,2.16,2.33,7.92,EDT,0.0,EQUITY
30,AAPL,Apple Inc.,2015-01-27T00:00:00.000Z,TNS,2.6,3.06,17.51,EDT,0.0,EQUITY
31,AAPL,Apple Inc.,2014-10-20T00:00:00.000Z,TNS,1.31,1.42,8.81,EDT,0.0,EQUITY
32,AAPL,Apple Inc.,2014-07-22T00:00:00.000Z,TNS,1.23,1.28,3.98,EDT,0.0,EQUITY
33,AAPL,Apple Inc.,2014-04-23T00:00:00.000Z,TNS,1.46,1.66,13.99,EDT,0.0,EQUITY
34,AAPL,Apple Inc.,2014-01-27T00:00:00.000Z,TNS,2.01,2.07,3.08,EDT,0.0,EQUITY
35,AAPL,Apple Inc.,2013-10-28T00:00:00.000Z,TNS,1.14,1.18,3.82,EDT,0.0,EQUITY
36,AAPL,Apple Inc.,2013-07-23T00:00:00.000Z,TNS,1.05,1.07,2.05,EDT,0.0,EQUITY
37,AAPL,Apple Inc.,2013-04-23T00:00:00.000Z,TNS,1.43,1.44,0.88,EDT,0.0,EQUITY
38,AAPL,Apple Inc.,2013-01-23T00:00:00.000Z,TNS,1.92,1.97,2.52,EDT,0.0,EQUITY
39,AAPL,Apple Inc.,2012-10-25T00:00:00.000Z,TNS,1.25,1.24,-0.91,EDT,0.0,EQUITY
40,AAPL,Apple Inc.,2012-07-24T00:00:00.000Z,TNS,1.48,1.33,-10.12,EDT,0.0,EQUITY
41,AAPL,Apple Inc.,2012-04-24T00:00:00.000Z,TNS,1.43,1.76,22.55,EDT,0.0,EQUITY
42,AAPL,Apple Inc.,2012-01-24T00:00:00.000Z,TNS,1.45,1.98,36.46,EDT,0.0,EQUITY
43,AAPL,Apple Inc.,2011-10-18T00:00:00.000Z,TNS,1.06,1.01,-4.54,EDT,0.0,EQUITY
44,AAPL,Apple Inc.,2011-07-19T00:00:00.000Z,TNS,0.83,1.11,33.58,EDT,0.0,EQUITY
45,AAPL,Apple Inc.,2011-04-20T00:00:00.000Z,TNS,0.77,0.91,19.09,EDT,0.0,EQUITY
46,AAPL,Apple Inc.,2011-01-18T00:00:00.000Z,TNS,0.77,0.92,19.03,EDT,0.0,EQUITY
47,AAPL,Apple Inc.,2010-10-18T00:00:00.000Z,TNS,0.58,0.66,13.65,EDT,0.0,EQUITY
48,AAPL,Apple Inc.,2010-07-20T00:00:00.000Z,TNS,0.44,0.5,12.68,EDT,0.0,EQUITY
49,AAPL,Apple Inc.,2010-04-20T00:00:00.000Z,TNS,0.35,0.48,36.1,EDT,0.0,EQUITY
50,AAPL,Apple Inc.,2010-01-25T00:00:00.000Z,TNS,0.3,0.52,76.0,EDT,0.0,EQUITY
51,AAPL,Apple Inc.,2009-10-19T00:00:00.000Z,TNS,0.2,0.26,27.8,EDT,0.0,EQUITY
52,AAPL,Apple Inc.,2009-07-21T00:00:00.000Z,TNS,0.17,0.19,15.05,EDT,0.0,EQUITY
53,AAPL,Apple Inc.,2009-04-22T00:00:00.000Z,TNS,0.16,0.19,22.05,EDT,0.0,EQUITY
54,AAPL,Apple Inc.,2009-01-21T00:00:00.000Z,TNS,0.2,0.25,28.26,EDT,0.0,EQUITY
55,AAPL,Apple Inc.,2008-10-21T00:00:00.000Z,TNS,0.16,0.18,13.3,EDT,0.0,EQUITY
56,AAPL,Apple Inc.,2008-07-21T00:00:00.000Z,TNS,0.15,0.17,10.4,EDT,0.0,EQUITY
57,AAPL,Apple Inc.,2008-04-23T00:00:00.000Z,TNS,0.15,0.17,8.1,EDT,0.0,EQUITY
58,AAPL,Apple Inc.,2008-01-22T00:00:00.000Z,TNS,0.23,0.25,8.86,EDT,0.0,EQUITY
59,AAPL,Apple Inc.,2007-10-22T00:00:00.000Z,TNS,0.12,0.14,17.88,EDT,0.0,EQUITY
60,AAPL,Apple Inc.,2007-07-25T00:00:00.000Z,TNS,0.1,0.13,27.07,EDT,0.0,EQUITY
61,AAPL,Apple Inc.,2007-04-25T00:00:00.000Z,TNS,0.09,0.12,35.94,EDT,0.0,EQUITY
62,AAPL,Apple Inc.,2007-01-17T00:00:00.000Z,TNS,0.11,0.16,45.38,EDT,0.0,EQUITY
63,AAPL,Apple Inc.,2006-10-18T00:00:00.000Z,TNS,0.07,0.09,22.55,EDT,0.0,EQUITY
64,AAPL,Apple Inc.,2006-07-19T00:00:00.000Z,TNS,0.06,0.08,22.85,EDT,0.0,EQUITY
65,AAPL,Apple Inc.,2006-04-19T00:00:00.000Z,TNS,0.06,0.07,8.22,EDT,0.0,EQUITY
66,AAPL,Apple Inc.,2006-01-18T00:00:00.000Z,TNS,0.09,0.09,7.09,EDT,0.0,EQUITY
67,AAPL,Apple Inc.,2005-10-11T00:00:00.000Z,TNS,0.05,0.05,2.16,EDT,0.0,EQUITY
68,AAPL,Apple Inc.,2005-07-13T00:00:00.000Z,TNS,0.04,0.05,17.96,EDT,0.0,EQUITY
69,AAPL,Apple Inc.,2005-04-13T00:00:00.000Z,TNS,0.03,0.05,39.69,EDT,0.0,EQUITY
70,AAPL,Apple Inc.,2005-01-12T00:00:00.000Z,TNS,0.03,0.05,43.93,EDT,0.0,EQUITY
71,AAPL,Apple Inc.,2004-10-13T00:00:00.000Z,TNS,0.01,0.02,47.7,EDT,0.0,EQUITY
72,AAPL,Apple Inc.,2004-07-14T00:00:00.000Z,TNS,0.01,0.01,14.96,EDT,0.0,EQUITY
73,AAPL,Apple Inc.,2004-04-14T00:00:00.000Z,TNS,0.01,0.01,46.41,EDT,0.0,EQUITY
74,AAPL,Apple Inc.,2004-01-14T00:00:00.000Z,TNS,0.01,0.01,9.38,EDT,0.0,EQUITY
75,AAPL,Apple Inc.,2003-10-15T00:00:00.000Z,TNS,0.0,0.01,20.46,EDT,0.0,EQUITY
76,AAPL,Apple Inc.,2003-07-16T00:00:00.000Z,TNS,0.0,0.0,63.01,EDT,0.0,EQUITY
77,AAPL,Apple Inc.,2003-04-16T00:00:00.000Z,TNS,0.0,0.0,100.0,EDT,0.0,EQUITY
78,AAPL,Apple Inc.,2003-01-15T00:00:00.000Z,TNS,0.0,0.0,-47.8,EDT,0.0,EQUITY
79,AAPL,Apple Inc.,2002-10-16T00:00:00.000Z,TNS,0.0,0.0,-66.9,EDT,0.0,EQUITY
80,AAPL,Apple Inc.,2002-07-16T00:00:00.000Z,TNS,0.01,0.01,3.04,EDT,0.0,EQUITY
81,AAPL,Apple Inc.,2002-01-16T00:00:00.000Z,TNS,0.01,0.01,2.21,EDT,0.0,EQUITY
82,AAPL,Apple Inc.,2001-04-18T00:00:00.000Z,TNS,0.0,0.01,920.78,EDT,0.0,EQUITY
83,AAPL,Apple Inc.,2000-07-18T00:00:00.000Z,TNS,0.03,0.03,3.01,EDT,0.0,EQUITY
84,AAPL,Apple Inc.,2000-04-19T00:00:00.000Z,TNS,0.03,0.03,9.59,EDT,0.0,EQUITY
85,AAPL,Apple Inc.,2000-01-19T00:00:00.000Z,TNS,0.03,0.04,11.14,EDT,0.0,EQUITY
86,AAPL,Apple Inc.,1999-10-13T00:00:00.000Z,TNS,0.02,0.02,12.69,EDT,0.0,EQUITY
87,AAPL,Apple Inc.,1999-07-14T00:00:00.000Z,TNS,0.02,0.02,7.69,EDT,0.0,EQUITY
88,AAPL,Apple Inc.,1999-04-14T00:00:00.000Z,TNS,0.02,0.02,19.24,EDT,0.0,EQUITY
89,AAPL,Apple Inc.,1999-01-13T00:00:00.000Z,TNS,0.02,0.03,12.79,EDT,0.0,EQUITY
90,AAPL,Apple Inc.,1998-10-14T00:00:00.000Z,TNS,0.02,0.02,39.92,EDT,0.0,EQUITY
91,AAPL,Apple Inc.,1998-07-15T00:00:00.000Z,TNS,0.01,0.02,68.49,EDT,0.0,EQUITY
92,AAPL,Apple Inc.,1998-04-15T00:00:00.000Z,TNS,0.01,0.01,156.52,EDT,0.0,EQUITY
93,AAPL,Apple Inc.,1998-01-14T00:00:00.000Z,TNS,0.01,0.01,22.3,EDT,0.0,EQUITY
94,AAPL,Apple Inc.,1997-07-16T00:00:00.000Z,TNS,-0.02,-0.02,26.79,EDT,0.0,EQUITY
95,AAPL,Apple Inc.,1997-04-16T00:00:00.000Z,TNS,-0.04,-0.05,-18.29,EDT,0.0,EQUITY
96,AAPL,Apple Inc.,1997-01-15T00:00:00.000Z,TNS,-0.02,-0.03,-48.31,EDT,0.0,EQUITY
97,AAPL,Apple Inc.,1996-10-16T00:00:00.000Z,TNS,-0.01,0.0,118.29,EDT,0.0,EQUITY
98,AAPL,Apple Inc.,1996-07-17T00:00:00.000Z,TNS,-0.04,-0.02,51.62,EDT,0.0,EQUITY
99,AAPL,Apple Inc.,1996-04-17T00:00:00.000Z,TNS,-0.05,-0.07,-40.6,EDT,0.0,EQUITY
